"","x"
"1",16.1630434782609
"2",43.1964285714286
"3",34.8222222222222
"4",32.5017825311943
"5",23.3842746400886
"6",21.0009310986965
"7",23.615866388309
"8",13.1068139963168
"9",8.80745341614907
"10",20.962962962963
"11",27.7466216216216
"12",24.4991909385113
"13",35.0516840882695
"14",28.3383356070941
"15",31.170903190914
"16",20.6001255492781
"17",22.6701607267645
"18",33.6748878923767
"19",23.5369674185464
"20",42.7355584082157
"21",42.0432835820896
"22",39.9756756756757
"23",27.5339043540328
"24",36.8674911660777
"25",38.1182336182336
"26",30.4898085237801
"27",28.5532178217822
"28",31.4645340751043
"29",35.9803122878479
"30",38.471186440678
"31",31.4475323430762
"32",25.3668438859352
"33",24.1604686704024
"34",28.548071700163
"35",29.2753623188406
"36",28.796812749004
"37",26.0492021276596
"38",23.5356355620867
"39",19.2090761750405
"40",13.1015697137581
"41",16.3762376237624
"42",17.416961130742
"43",21.1327201051248
"44",23.6840236686391
"45",15.7049608355091
"46",19.3546592489569
"47",13.5859491778774
"48",12.8076225045372
"49",8.85272727272727
"50",9.07531380753138
"51",13.9559164733179
"52",8.15384615384615
"53",6.44594594594595
"54",4.74853801169591
