0,308
1,312
2,307
3,304
4,303
5,327
6,324
7,320
8,317
9,332
10,329
11,324
12,320
13,345
14,341
15,337
16,334
17,336
18,333
19,331
20,328
21,329
22,327
23,324
24,319
25,318
26,314
27,310
28,307
29,317
30,315
31,312
32,310
33,314
34,314
35,311
36,308
37,346
38,345
39,342
40,339
41,365
42,361
43,351
44,342
45,341
46,325
47,311
48,298
49,289
50,272
51,253
52,233
53,277
54,267
55,250
56,242
57,248
58,237
59,229
60,222
61,261
62,247
63,234
64,223
65,266
66,261
67,254
68,249
69,267
70,263
71,256
72,249
73,278
74,274
75,265
76,256
77,265
78,256
79,251
80,245
81,268
82,263
83,257
84,249
85,246
86,238
87,233
88,231
89,233
90,230
91,227
92,223
93,240
94,237
95,236
96,235
97,263
98,262
99,260
100,259
101,276
102,275
103,273
104,271
105,286
106,283
107,280
108,278
109,292
110,291
111,290
112,289
113,290
114,286
115,282
116,280
117,309
118,306
119,302
120,297
121,328
122,326
123,323
124,321
125,347
126,344
127,340
128,335
129,335
130,334
131,331
132,329
133,378
134,375
135,372
136,369
137,370
138,370
139,368
140,367
141,408
142,408
143,405
144,402
145,421
146,416
147,411
148,408
149,423
150,420
151,412
152,394
153,389
154,368
155,345
156,313
157,325
158,303
159,274
160,261
161,299
162,287
163,259
164,239
165,228
166,222
167,212
168,201
169,221
170,216
171,198
172,191
173,202
174,199
175,191
176,185
177,208
178,199
179,192
180,185
181,212
182,202
183,193
184,186
185,202
186,198
187,190
188,183
189,213
190,210
191,202
192,193
193,199
194,195
195,190
196,184
197,182
198,169
199,158
200,147
201,142
202,132
203,122
204,116
205,138
206,126
207,112
208,105
209,121
210,116
211,102
212,95
213,95
214,88
215,81
216,76
217,90
218,87
219,80
220,72
221,90
222,85
223,75
224,70
225,69
226,67
227,62
228,56
229,83
230,79
231,74
232,68
233,99
234,95
235,90
236,85
237,96
238,93
239,91
240,88
241,108
242,105
243,101
244,98
245,127
246,122
247,117
248,114
249,134
250,128
251,120
252,113
253,112
254,110
255,108
256,104
257,109
258,105
259,102
260,99
261,128
262,126
263,123
264,121
265,163
266,161
267,158
268,156
269,189
270,186
271,183
272,179
273,194
274,190
275,186
276,181
277,196
278,193
279,192
280,189
281,213
282,210
283,207
284,203
285,240
286,239
287,236
288,232
289,272
290,270
291,267
292,262
293,273
294,268
295,262
296,258
297,272
298,269
299,265
300,261
301,275
302,272
303,271
304,270
305,291
306,287
307,283
308,279
309,300
310,298
311,297
312,295
313,321
314,320
315,314
316,307
317,301
318,282
319,263
320,249
321,254
322,237
323,219
324,209
325,208
326,199
327,182
328,173
329,173
330,170
331,160
332,153
333,171
334,154
335,139
336,130
337,168
338,161
339,150
340,136
341,152
342,145
343,135
344,128
345,131
346,127
347,121
348,116
349,125
350,120
351,113
352,106
353,116
354,103
355,90
356,79
357,60
358,37
359,28
360,22
361,17
362,15
363,14
364,14
365,60
366,51
367,24
368,18
369,42
370,36
371,15
372,14
373,43
374,40
375,31
376,23
377,31
378,30
379,27
380,23
381,64
382,64
383,59
384,54
385,85
386,80
387,67
388,57
389,62
390,59
391,56
392,54
393,65
394,64
395,63
396,63
397,64
398,61
399,59
400,57
401,82
402,81
403,80
404,78
405,120
406,119
407,115
408,110
409,146
410,142
411,138
412,136
413,143
414,142
415,141
416,139
417,147
418,146
419,144
420,143
421,157
422,155
423,154
424,153
425,172
426,171
427,167
428,164
429,187
430,186
431,183
432,180
433,203
434,202
435,201
436,200
437,216
438,215
439,213
440,212
441,234
442,232
443,230
444,227
445,240
446,239
447,237
448,234
449,256
450,253
451,251
452,248
453,252
454,237
455,222
456,206
457,238
458,212
459,185
460,171
461,196
462,177
463,155
464,146
465,151
466,140
467,131
468,123
469,117
470,112
471,105
472,100
473,128
474,118
475,103
476,95
477,130
478,118
479,89
480,81
481,89
482,85
483,76
484,73
485,97
486,90
487,83
488,78
489,112
490,109
491,101
492,97
493,126
494,122
495,113
496,103
497,96
498,94
499,93
500,89
501,99
502,96
503,93
504,91
505,105
506,101
507,97
508,93
509,118
510,117
511,116
512,116
513,136
514,136
515,133
516,132
517,174
518,172
519,168
520,163
521,170
522,168
523,166
524,164
525,201
526,198
527,194
528,190
529,200
530,199
531,197
532,195
533,214
534,211
535,207
536,206
537,236
538,236
539,235
540,232
541,230
542,226
543,221
544,219
545,228
546,227
547,223
548,219
549,239
550,234
551,228
552,220
553,243
554,234
555,226
556,222
557,220
558,212
559,197
560,188
561,187
562,184
563,179
564,174
565,168
566,160
567,154
568,150
569,183
570,180
571,172
572,166
573,168
574,166
575,163
576,162
577,159
578,157
579,154
580,152
581,175
582,167
583,148
584,130
585,116
586,102
587,91
588,82
589,110
